Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoxLCJ0b2tlbl9pZCI6IjFKMDFRUmlIWlR3QUU1OVdQMmdUeFYwcF94NFFickIxQS1INzBQNDBrSWMifQ.aLkcU_f8VXd1S7sW2rTM-0mXemzSvC1ELAgYct4woSA&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoxLCJ0b2tlbl9pZCI6InpwVU11b0x3ZjVLREpSOGd5Z0oyQ2VSY2s1U0pHYTNMNDQ5dkpHdk0tTXMifQ.MhpoZDS0wa6wwlxk91HTHbywtfbwZuZzwDJ0bZkGJjc&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //dm/messages/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoxLCJ0b2tlbl9pZCI6InpwVU11b0x3ZjVLREpSOGd5Z0oyQ2VSY2s1U0pHYTNMNDQ5dkpHdk0tTXMifQ.MhpoZDS0wa6wwlxk91HTHbywtfbwZuZzwDJ0bZkGJjc&dm_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoxLCJ0b2tlbl9pZCI6IjRYSmxzcWt4a0daeGEtX04zMVBaTkhQcWdxbnZPZzJpaVJvSG1tbWFhLVEifQ.2xJQM4Kdf7-50J2rtflY2TgYsm-t5y91aYJYAiua_Fg&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoxLCJ0b2tlbl9pZCI6InlDV25sZW5fUlBGcXN5cTJ0X0J0MUVlQkNWMWV3RHhoSGw4dThtTW14RGsifQ.HSSofDPtnjM15s3e8qtsLUXWQjpS2vmhvH07cQm8mKA&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoxLCJ0b2tlbl9pZCI6InlDV25sZW5fUlBGcXN5cTJ0X0J0MUVlQkNWMWV3RHhoSGw4dThtTW14RGsifQ.HSSofDPtnjM15s3e8qtsLUXWQjpS2vmhvH07cQm8mKA&u_id=3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyLCJ0b2tlbl9pZCI6InNkUzVTRU83LU82LWdMc3dpVVV0LXlvdnB3cVA0akFJa09DSk5raGxMclEifQ.R2rs4vpQiqmH1zV_ZGn07aL-vaIZHzQByT7Qgd7-dZY&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //users/all/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyLCJ0b2tlbl9pZCI6InNkUzVTRU83LU82LWdMc3dpVVV0LXlvdnB3cVA0akFJa09DSk5raGxMclEifQ.R2rs4vpQiqmH1zV_ZGn07aL-vaIZHzQByT7Qgd7-dZY HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //channels/list/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyLCJ0b2tlbl9pZCI6Im92cjQxSmJ4aVR5Wi13MktiaTlMaHM5M2hoZzllUnRlNlpaNGx5UzI2aEEifQ.hESbPpN7_z-qs6UpdYceAXQB0mX9OtpEv8MQoTMNIk8 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyLCJ0b2tlbl9pZCI6Im92cjQxSmJ4aVR5Wi13MktiaTlMaHM5M2hoZzllUnRlNlpaNGx5UzI2aEEifQ.hESbPpN7_z-qs6UpdYceAXQB0mX9OtpEv8MQoTMNIk8&channel_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/removeowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyLCJ0b2tlbl9pZCI6Im92cjQxSmJ4aVR5Wi13MktiaTlMaHM5M2hoZzllUnRlNlpaNGx5UzI2aEEifQ.hESbPpN7_z-qs6UpdYceAXQB0mX9OtpEv8MQoTMNIk8&channel_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyLCJ0b2tlbl9pZCI6Im92cjQxSmJ4aVR5Wi13MktiaTlMaHM5M2hoZzllUnRlNlpaNGx5UzI2aEEifQ.hESbPpN7_z-qs6UpdYceAXQB0mX9OtpEv8MQoTMNIk8&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/removeowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyLCJ0b2tlbl9pZCI6Im92cjQxSmJ4aVR5Wi13MktiaTlMaHM5M2hoZzllUnRlNlpaNGx5UzI2aEEifQ.hESbPpN7_z-qs6UpdYceAXQB0mX9OtpEv8MQoTMNIk8&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //users/all/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyLCJ0b2tlbl9pZCI6Im92cjQxSmJ4aVR5Wi13MktiaTlMaHM5M2hoZzllUnRlNlpaNGx5UzI2aEEifQ.hESbPpN7_z-qs6UpdYceAXQB0mX9OtpEv8MQoTMNIk8 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyLCJ0b2tlbl9pZCI6Im92cjQxSmJ4aVR5Wi13MktiaTlMaHM5M2hoZzllUnRlNlpaNGx5UzI2aEEifQ.hESbPpN7_z-qs6UpdYceAXQB0mX9OtpEv8MQoTMNIk8&u_id=3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/join/v2 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/removeowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:47] "GET //channels/list/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoyLCJ0b2tlbl9pZCI6IlZQMXlreUhBSG9Pc2JFYUMydUEzaUtEaFg5Nm42T2xrMTRMNzcxd1pZOVEifQ.uPx0bbXB7eZoq7P8ki_B1bz6uxgcv31QYe7t-5y737A HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //channels/create/v2 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //dm/create/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "PUT //user/profile/sethandle/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "PUT //user/profile/setname/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "PUT //user/profile/setemail/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/logout/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:48] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:52] "POST //auth/passwordreset/request/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:52] "POST //auth/passwordreset/request/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:51:52] "POST //auth/passwordreset/request/v1 HTTP/1.1" 200 -
